/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
 -- forward : 1.56
 -- left : 0.38
 -- right : 0.46

('forward', 'red', 'None', 'None')
 -- None : 1.83
 -- forward : -12.65
 -- left : -12.57
 -- right : 0.76

('right', 'green', 'None', 'left')
 -- None : 0.61
 -- forward : 0.70
 -- left : 0.68
 -- right : 1.69

